,NO_CNN/CAL/ARI,NO_CNN/SIL/ARI,NO_RES/CAL/ARI,NO_RES/SIL/ARI,NO_ATT/CAL/ARI,NO_ATT/SIL/ARI
BreastTissue,0.268213715,0.268213715,0.331095898,0.226834494,0.268213715,0.268213715
Ecoli,0.673765377,0.037978121,0.375966403,0.375966403,0.673765377,0.037978121
Glass,0.245293642,0.245293642,0.11623767,0.161406,0.245293642,0.245293642
Haberman,0.103997871,0.103997871,0.103997871,0.103997871,0.027390646,0.034398202
Iris,0.568115942,0.568115942,0.568115942,0.568115942,0.568115942,0.568115942
Parkinsons,0.051350361,0.121841381,0.051350361,0.121841381,0.051350361,0.121841381
Transfusion,0.014773986,0.014773986,-0.035619239,-0.026854671,0.019258857,0.019258857
Vehicle,0.109679966,0.086905057,0.086905057,0.086905057,0.087762561,0.089592303
VertebralColumn,0.136070402,0.363384964,0.049028337,0.049028337,0.049028337,0.049028337
WineQualityRed,0.061060033,-0.002935183,0.071563614,0.088354201,0.071563614,0.088354201
Mean,0.223232129,0.18075695,0.171864192,0.175559502,0.206174305,0.15220747
Median,0.122875184,0.112919626,0.095451464,0.112919626,0.079663088,0.088973252
